id,dadid,momid,sex,seq
889461,889252,889253,3,0
889462,889252,889253,3,0
889463,889190,883089,3,0
889464,889190,883089,3,0
889465,889190,883089,3,0
889466,NA,NA,3,0
889467,NA,NA,3,0
889468,NA,NA,3,0
889469,NA,NA,3,0
889470,NA,NA,3,0
889471,NA,NA,3,0
889472,NA,NA,3,0
889473,NA,NA,3,0
889474,NA,NA,3,0
889477,877393,881444,3,0
889478,877393,881444,3,0
889479,877393,881444,3,0
889480,877393,881444,3,0
889481,877393,881444,3,0
889482,877393,881444,3,0
889483,877393,881444,3,0
889515,889131,877921,3,0
889516,889131,877921,3,0
889517,889131,877921,3,0
889518,889131,877921,3,0
889519,877916,889485,3,0
889520,877916,889485,3,0
889521,877890,877813,3,0
889522,877890,877813,3,0
889523,877861,877923,3,0
889524,877890,877813,3,0
889525,877861,877923,3,0
889530,861530,881115,3,0
889531,877954,889503,3,0
889532,877954,889503,3,0
889533,877866,877883,3,0
889541,877674,889178,3,0
889543,877927,886258,3,0
889561,889504,877938,3,0
889562,877866,877883,3,0
889563,877954,889503,3,0
889564,866268,892212,3,0
889565,877861,877923,3,0
889566,889200,889251,3,0
889567,861530,881115,3,0
889568,868867,889192,3,0
889569,868867,889192,1,0
889570,868867,889192,3,0
889571,861530,881115,3,0
889572,877890,877813,3,0
889573,877861,877923,3,0
889574,877861,877923,1,0
889575,877861,877923,3,0
889576,887435_1,887435,3,0
889577,877927,886258,3,0
889578,877674,889178,3,0
889579,877674,889178,3,0
889581,889131,877921,1,0
889582,889131,877921,2,0
889583,877954,889503,3,0
889584,877866,877883,3,0
889585,877866,877883,3,0
889586,877916,889485,3,0
889587,877916,889485,3,0
889588,877798,877727,3,0
889589,871344,877722,3,0
889590,877798,877727,3,0
889591,871344,877722,3,0
889592,877798,877727,3,0
889593,877798,877727,3,0
889594,877724,889507,3,0
889595,889393,883063,3,0
889596,889393,883063,3,0
889597,889393,883063,3,0
889598,889393,883063,3,0
889599,877175,889310,3,0
889600,877175,889310,3,0
889601,871344,877722,3,0
889602,877798,877727,1,0
889603,871344,877722,3,0
889604,877798,877727,3,0
889605,870404,871649,3,0
889606,877988,889183,3,0
889608,889504,877938,3,0
889609,871636,889177,3,0
889610,871636,889177,3,0
889611,889504,877938,1,0
889612,877674,889178,3,0
889613,877927,886258,3,0
889614,877927,886258,3,0
889615,877927,886258,3,0
889616,889504,877938,3,0
889617,889504,877938,3,0
889618,871636,889177,3,0
889619,861530,881115,3,0
889620,877866,877883,3,0
889621,861530,881115,3,0
889622,868867,889192,3,0
889623,861530,881115,3,0
889625,889630,889273,3,0
889626,889630,889273,3,0
889627,889630,889273,3,0
889628,889630,889273,3,0
889629,889630,889273,3,0
889631,877175,889310,1,0
889632,889505,877738,3,0
889633,889200,889251,3,0
889636,866268,892212,3,0
889637,881671,877511,3,0
889638,881671,877511,3,0
889639,887435_1,887435,3,0
889640,890820,885869,3,0
889641,887435_1,887435,3,0
889642,890820,885869,3,0
889643,877175,889310,3,0
889644,877175,889310,3,0
889645,889393,883063,3,0
889646,889505,877738,3,0
889647,889505,877738,3,0
889648,889505,877738,3,0
889649,889505,877738,3,0
889650,889505,877738,3,0
889651,889200,889251,3,0
889652,889505,877738,3,0
889653,866268,892212,3,0
889654,866268,892212,3,0
889655,881671,877511,3,0
889656,877724,889507,3,0
889657,877724,889507,3,0
889658,889432,889061,3,0
889659,887435_1,887435,3,0
889660,890820,885869,3,0
889661,887435_1,887435,3,0
889662,889017,889035,3,0
889663,889017,889035,3,0
889664,877882,877566,3,0
889665,889017,889035,3,0
889666,877882,877566,3,0
889667,889508,889509,3,0
889668,889508,889509,3,0
889669,889508,889509,3,0
889670,877188,889449,3,0
889671,877188,889449,3,0
889672,889017,889035,3,0
