id,dadid,momid,sex,seq
M032348,NA,NA,1,0
M032362,NA,NA,1,0
M004206,NA,NA,1,0
M034814,NA,NA,1,0
M031774,NA,NA,1,0
M032218,NA,NA,1,0
M032401_1,NA,NA,1,0
unknwn7,NA,NA,1,0
M042107,NA,NA,1,0
unknwn9,NA,NA,1,0
M041345,NA,NA,1,0
858954,NA,NA,1,0
863658,NA,NA,1,0
873932,NA,NA,1,0
M026835,NA,NA,1,0
858839_1,NA,NA,1,0
865490,NA,NA,1,0
861503_1,NA,NA,1,0
889200,NA,NA,1,0
M005186,NA,NA,1,0
M026901_1,NA,NA,1,0
M026399,NA,NA,1,0
M028883,NA,NA,1,0
M037564,NA,NA,1,0
865782,NA,NA,2,0
865740,NA,NA,2,0
871110,NA,NA,2,0
877081,NA,NA,2,0
881104,NA,NA,2,0
884736,NA,NA,2,0
883554,NA,NA,2,0
877727,NA,NA,2,0
877387,NA,NA,2,0
877945,NA,NA,2,0
877560,NA,NA,2,0
880843,NA,NA,2,0
889558,NA,NA,2,0
889540,NA,NA,2,0
unknwn3,NA,NA,2,0
877729,NA,NA,2,0
898316,NA,NA,2,0
889979,NA,NA,2,0
877923,NA,NA,2,0
885869,NA,NA,2,0
898915,NA,NA,2,0
unknwn1,NA,NA,2,0
M005004,NA,NA,2,0
M005235,NA,NA,2,0
M005482,NA,NA,2,0
896382,NA,NA,2,0
M011803,NA,NA,2,0
M007485,NA,NA,2,0
889984,NA,NA,2,0
M001652,NA,NA,2,0
M011819,NA,NA,2,0
M011649,NA,NA,2,0
M007980,NA,NA,2,0
M011181,NA,NA,2,0
M011821,NA,NA,2,0
M011628,NA,NA,2,0
M011634,NA,NA,2,0
M000376,NA,NA,2,0
M026285_2,NA,NA,2,0
M022152,NA,NA,2,0
M022156,NA,NA,2,0
M026980,NA,NA,2,0
M026255,NA,NA,2,0
unknwn6,NA,NA,2,0
M032231,NA,NA,2,0
M032229,NA,NA,2,0
M032228,NA,NA,2,0
M032401,NA,NA,2,0
unknwn8,NA,NA,2,0
unknwn10,NA,NA,2,0
M043819,NA,NA,2,0
859947,NA,NA,2,0
889253,NA,NA,2,0
M032221,NA,NA,2,0
858839,NA,NA,2,0
875633,NA,NA,2,0
861503,NA,NA,2,0
889251,NA,NA,2,0
M001373,NA,NA,2,0
M011620,NA,NA,2,0
M026901,NA,NA,2,0
M042178,NA,NA,2,0
