New_name,Library_name,Population,Position_in_cluster,Sex,Coverage,Project,Paper_Description,NCBI_number,Comments
M038283,M038283_S538,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038283_S538_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M033836,M033836_S292,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M033836_S292_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M005003,M005003_S181,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M005003_S181_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M031595,M031595_S382,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031595_S382_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026336,M026336_S852,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026336_S852_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043946,M043946_S250,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043946_S250_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M026649,M026649_S688,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026649_S688_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040859,M040859_S901,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040859_S901_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M031746,M031746_S809,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031746_S809_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M033889,M033889_S409,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M033889_S409_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038081,M038081_S531,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038081_S531_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026915,M026915_S526,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026915_S526_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040764,M040764_S824,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040764_S824_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M026405,M026405_S358,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026405_S358_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032443,M032443_S154,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032443_S154_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032263,M032263_S923,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032263_S923_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040525,M040525_S461,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040525_S461_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043983,M043983_S873,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043983_S873_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M040902,M040902_S407,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040902_S407_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038190,M038190_S199,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038190_S199_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040713,M040713_S569,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040713_S569_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M026753,M026753_S767,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026753_S767_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M040702,M040702_S490,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040702_S490_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M042175,M042175_S708,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M042175_S708_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M031653b,M031653_2_S386,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031653b_S386_markdup.bam,1,NA,3K_OWLS,NA,NA,REPLICATE
M031925,M031925_S475,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031925_S475_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031564,M031564_S810,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031564_S810_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M031760b,M031760_2_S98,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031760b_S98_markdup.bam,2,NA,3K_OWLS,NA,NA,REPLICATE
M031710,M031710_S798,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031710_S798_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
873932,873932_S875,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/873932_S875_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032500,M032500_S477,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032500_S477_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032080,M032080_S44,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032080_S44_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043278,M043278_S267,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043278_S267_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M040703,M040703_S325,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040703_S325_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M031697,M031697_S308,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031697_S308_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031745,M031745_S387,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031745_S387_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
